"jobtitle","officelocation","seniority","employer","salary","bonus","hours","digitalstrategy","technicalseo","content","linkbuilding","paidsearch","analytics","weddesign","city","Region"
"Head of Data Science","UK","Director/Head of Department","In-house Brand",55000,0,"44",3,1,2,1,1,5,1,"brighton","South East"
"","UK","Manager","Agency",22000,0,"40",4,5,2,2,1,4,1,"liverpool","North West"
"Senior Content Manager","UK","Manager","In-house Brand",29100,0,"40",3,3,5,2,1,2,2,"brighton","South East"
"Digital Marketing Adviser","UK","Manager","In-house Brand",35000,0,"45",5,4,3,3,4,5,3,"london","London"
"Web Architect","UK","Manager","In-house Brand",40000,0,"37.5",3,5,3,3,1,4,4,"nottingham","East Midlands"
"Head of People Development","UK","Director/Head of Department","Agency",40000,0,"30",1,1,1,1,1,1,1,"cambridge","Eastern"
"Head of SEO","UK","Director/Head of Department","In-house Brand",80000,3500,"37.5",3,5,5,5,1,3,2,"london","London"
"SEO Executive","UK","Junior","Agency",16000,NA,"37.5",2,5,3,1,1,4,1,"manchester","North West"
"Digital Marketing Executive","UK","Junior","In-house Brand",24000,0,"45hours",3,3,2,2,5,4,4,"hemel hemstead","Eastern"
"SEO Executive","UK","Junior","In-house Brand",26000,0,"42.5",3,4,4,1,1,4,1,"peterborough","Eastern"
"Search Consultant","UK","Junior","Agency",26000,500,"35",4,5,4,3,1,5,1,"ipswich","Eastern"
